happiness input_files/MacBeth.txt:1
now input_files/MacBeth.txt:50
sweno input_files/MacBeth.txt:1
norways input_files/MacBeth.txt:1
craves input_files/MacBeth.txt:1
composition input_files/MacBeth.txt:1
would input_files/MacBeth.txt:47
deign input_files/MacBeth.txt:1
burial input_files/MacBeth.txt:1
disbursed input_files/MacBeth.txt:1
saint input_files/MacBeth.txt:1
colmes input_files/MacBeth.txt:1
inch input_files/MacBeth.txt:1
ten input_files/MacBeth.txt:5
thousand input_files/MacBeth.txt:4
dollars input_files/MacBeth.txt:1
more input_files/MacBeth.txt:52
deceive input_files/MacBeth.txt:1
bosom input_files/MacBeth.txt:4
interest input_files/MacBeth.txt:1
go input_files/MacBeth.txt:25
pronounce input_files/MacBeth.txt:4
present input_files/MacBeth.txt:7
death input_files/MacBeth.txt:20
former input_files/MacBeth.txt:4
greet input_files/MacBeth.txt:2
ill input_files/MacBeth.txt:35
see input_files/MacBeth.txt:34
hath input_files/MacBeth.txt:51
noble input_files/MacBeth.txt:12
hast input_files/MacBeth.txt:6
been input_files/MacBeth.txt:22
sister input_files/MacBeth.txt:2
killing input_files/MacBeth.txt:1
swine input_files/MacBeth.txt:1
sailors input_files/MacBeth.txt:1
wife input_files/MacBeth.txt:13
chestnuts input_files/MacBeth.txt:1
her input_files/MacBeth.txt:43
lap input_files/MacBeth.txt:1
mounchd input_files/MacBeth.txt:3
me input_files/MacBeth.txt:110
quoth input_files/MacBeth.txt:1
aroint input_files/MacBeth.txt:1
rumpfed input_files/MacBeth.txt:1
ronyon input_files/MacBeth.txt:1
cries input_files/MacBeth.txt:3
husbands input_files/MacBeth.txt:1
aleppo input_files/MacBeth.txt:1
gone input_files/MacBeth.txt:8
master input_files/MacBeth.txt:5
th input_files/MacBeth.txt:49
tiger input_files/MacBeth.txt:2
sieve input_files/MacBeth.txt:1
thither input_files/MacBeth.txt:5
sail input_files/MacBeth.txt:1
rat input_files/MacBeth.txt:1
tail input_files/MacBeth.txt:1
wind input_files/MacBeth.txt:3
thart input_files/MacBeth.txt:1
kind input_files/MacBeth.txt:5
myself input_files/MacBeth.txt:11
very input_files/MacBeth.txt:12
ports input_files/MacBeth.txt:1
blow input_files/MacBeth.txt:3
quarters input_files/MacBeth.txt:1
know input_files/MacBeth.txt:34
shipmans input_files/MacBeth.txt:1
card input_files/MacBeth.txt:2
drain input_files/MacBeth.txt:1
dry input_files/MacBeth.txt:1
hay input_files/MacBeth.txt:1
sleep input_files/MacBeth.txt:25
neither input_files/MacBeth.txt:3
night input_files/MacBeth.txt:23
day input_files/MacBeth.txt:18
hang input_files/MacBeth.txt:8
penthouse input_files/MacBeth.txt:1
lid input_files/MacBeth.txt:1
live input_files/MacBeth.txt:8
forbid input_files/MacBeth.txt:2
weary input_files/MacBeth.txt:2
sevnnights input_files/MacBeth.txt:1
nine input_files/MacBeth.txt:4
times input_files/MacBeth.txt:3
dwindle input_files/MacBeth.txt:1
peak input_files/MacBeth.txt:1
pine input_files/MacBeth.txt:2
though input_files/MacBeth.txt:17
bark input_files/MacBeth.txt:1
yet input_files/MacBeth.txt:55
tempesttost input_files/MacBeth.txt:1
show input_files/MacBeth.txt:18
pilots input_files/MacBeth.txt:1
thumb input_files/MacBeth.txt:1
wrackd input_files/MacBeth.txt:1
homeward input_files/MacBeth.txt:1
did input_files/MacBeth.txt:40
drum input_files/MacBeth.txt:8
doth input_files/MacBeth.txt:6
weird input_files/MacBeth.txt:6
sisters input_files/MacBeth.txt:7
hand input_files/MacBeth.txt:23
posters input_files/MacBeth.txt:1
sea input_files/MacBeth.txt:2
land input_files/MacBeth.txt:3
thus input_files/MacBeth.txt:14
thrice input_files/MacBeth.txt:5
thine input_files/MacBeth.txt:10
mine input_files/MacBeth.txt:26
make input_files/MacBeth.txt:41
up input_files/MacBeth.txt:29
peacethe input_files/MacBeth.txt:1
charms input_files/MacBeth.txt:3
wound input_files/MacBeth.txt:2
seen input_files/MacBeth.txt:6
how input_files/MacBeth.txt:37
far input_files/MacBeth.txt:5
ist input_files/MacBeth.txt:8
calld input_files/MacBeth.txt:5
forreswhat input_files/MacBeth.txt:1
witherd input_files/MacBeth.txt:2
wild input_files/MacBeth.txt:3
attire input_files/MacBeth.txt:1
inhabitants input_files/MacBeth.txt:1
earth input_files/MacBeth.txt:7
ontlive input_files/MacBeth.txt:1
aught input_files/MacBeth.txt:1
question input_files/MacBeth.txt:4
seem input_files/MacBeth.txt:7
understand input_files/MacBeth.txt:2
each input_files/MacBeth.txt:14
once input_files/MacBeth.txt:11
choppy input_files/MacBeth.txt:1
finger input_files/MacBeth.txt:2
laying input_files/MacBeth.txt:1
skinny input_files/MacBeth.txt:1
lips input_files/MacBeth.txt:3
women input_files/MacBeth.txt:5
your input_files/MacBeth.txt:131
beards input_files/MacBeth.txt:1
interpret input_files/MacBeth.txt:2
canwhat input_files/MacBeth.txt:1
hail input_files/MacBeth.txt:15
glamis input_files/MacBeth.txt:8
shalt input_files/MacBeth.txt:7
hereafter input_files/MacBeth.txt:4
sir input_files/MacBeth.txt:29
why input_files/MacBeth.txt:32
fear input_files/MacBeth.txt:35
sound input_files/MacBeth.txt:5
fairi input_files/MacBeth.txt:1
truth input_files/MacBeth.txt:8
ye input_files/MacBeth.txt:3
fantastical input_files/MacBeth.txt:2
indeed input_files/MacBeth.txt:5
outwardly input_files/MacBeth.txt:1
partner input_files/MacBeth.txt:2
grace input_files/MacBeth.txt:10
prediction input_files/MacBeth.txt:1
having input_files/MacBeth.txt:3
royal input_files/MacBeth.txt:9
hope input_files/MacBeth.txt:9
rapt input_files/MacBeth.txt:3
withal input_files/MacBeth.txt:5
into input_files/MacBeth.txt:12
seeds input_files/MacBeth.txt:1
time input_files/MacBeth.txt:46
grain input_files/MacBeth.txt:1
grow input_files/MacBeth.txt:2
then input_files/MacBeth.txt:33
beg input_files/MacBeth.txt:2
favours input_files/MacBeth.txt:1
hate input_files/MacBeth.txt:2
lesser input_files/MacBeth.txt:2
than input_files/MacBeth.txt:32
greater input_files/MacBeth.txt:3
happy input_files/MacBeth.txt:3
much input_files/MacBeth.txt:14
happier input_files/MacBeth.txt:1
none input_files/MacBeth.txt:13
stay input_files/MacBeth.txt:5
imperfect input_files/MacBeth.txt:1
speakers input_files/MacBeth.txt:1
sinels input_files/MacBeth.txt:1
lives input_files/MacBeth.txt:10
prosperous input_files/MacBeth.txt:2
stands input_files/MacBeth.txt:5
prospect input_files/MacBeth.txt:1
belief input_files/MacBeth.txt:2
owe input_files/MacBeth.txt:4
intelligence input_files/MacBeth.txt:1
blasted input_files/MacBeth.txt:1
stop input_files/MacBeth.txt:2
way input_files/MacBeth.txt:20
such input_files/MacBeth.txt:30
prophetic input_files/MacBeth.txt:1
greetingspeak input_files/MacBeth.txt:1
charge input_files/MacBeth.txt:9
vanish input_files/MacBeth.txt:2
bubbles input_files/MacBeth.txt:1
water input_files/MacBeth.txt:4
has input_files/MacBeth.txt:21
them input_files/MacBeth.txt:48
whither input_files/MacBeth.txt:3
vanishd input_files/MacBeth.txt:1
corporal input_files/MacBeth.txt:2
melted input_files/MacBeth.txt:1
