dark input_files/Hamlet.txt:2
vast input_files/Hamlet.txt:1
wear input_files/Hamlet.txt:7
idle input_files/Hamlet.txt:4
bout input_files/Hamlet.txt:2
over input_files/Hamlet.txt:10
meat input_files/Hamlet.txt:2
heat input_files/Hamlet.txt:3
hawk input_files/Hamlet.txt:5
only input_files/Hamlet.txt:17
took input_files/Hamlet.txt:5
sigh input_files/Hamlet.txt:2
bulk input_files/Hamlet.txt:2
move input_files/Hamlet.txt:4
hide input_files/Hamlet.txt:4
hate input_files/Hamlet.txt:3
sure input_files/Hamlet.txt:4
whom input_files/Hamlet.txt:5
fits input_files/Hamlet.txt:1
guil input_files/Hamlet.txt:19
bent input_files/Hamlet.txt:6
feet input_files/Hamlet.txt:4
idol input_files/Hamlet.txt:1
vile input_files/Hamlet.txt:4
liar input_files/Hamlet.txt:1
lady input_files/Hamlet.txt:14
fain input_files/Hamlet.txt:4
wing input_files/Hamlet.txt:1
desk input_files/Hamlet.txt:3
mute input_files/Hamlet.txt:2
lock input_files/Hamlet.txt:2
farm input_files/Hamlet.txt:1
knew input_files/Hamlet.txt:3
grey input_files/Hamlet.txt:1
weak input_files/Hamlet.txt:3
hams input_files/Hamlet.txt:1
crab input_files/Hamlet.txt:1
hits input_files/Hamlet.txt:3
save input_files/Hamlet.txt:4
dost input_files/Hamlet.txt:8
lads input_files/Hamlet.txt:1
deal input_files/Hamlet.txt:1
roof input_files/Hamlet.txt:1
foil input_files/Hamlet.txt:2
halt input_files/Hamlet.txt:2
city input_files/Hamlet.txt:3
west input_files/Hamlet.txt:2
hark input_files/Hamlet.txt:1
twas input_files/Hamlet.txt:6
poem input_files/Hamlet.txt:2
pass input_files/Hamlet.txt:8
four input_files/Hamlet.txt:3
five input_files/Hamlet.txt:1
neas input_files/Hamlet.txt:1
dido input_files/Hamlet.txt:1
line input_files/Hamlet.txt:3
fore input_files/Hamlet.txt:1
anon input_files/Hamlet.txt:4
rage input_files/Hamlet.txt:2
wide input_files/Hamlet.txt:2
rack input_files/Hamlet.txt:2
bold input_files/Hamlet.txt:4
hush input_files/Hamlet.txt:1
rend input_files/Hamlet.txt:1
sets input_files/Hamlet.txt:3
fall input_files/Hamlet.txt:7
robe input_files/Hamlet.txt:1
weep input_files/Hamlet.txt:5
peak input_files/Hamlet.txt:1
john input_files/Hamlet.txt:3
pate input_files/Hamlet.txt:3
nose input_files/Hamlet.txt:3
gall input_files/Hamlet.txt:4
drab input_files/Hamlet.txt:1
tent input_files/Hamlet.txt:2
damn input_files/Hamlet.txt:1
bred input_files/Hamlet.txt:2
idea input_files/Hamlet.txt:3
acts input_files/Hamlet.txt:4
pros input_files/Hamlet.txt:1
cons input_files/Hamlet.txt:1
viii input_files/Hamlet.txt:3
mode input_files/Hamlet.txt:2
wits input_files/Hamlet.txt:7
eats input_files/Hamlet.txt:2
fish input_files/Hamlet.txt:2
rare input_files/Hamlet.txt:2
adds input_files/Hamlet.txt:1
care input_files/Hamlet.txt:1
lest input_files/Hamlet.txt:4
open input_files/Hamlet.txt:4
aims input_files/Hamlet.txt:1
shed input_files/Hamlet.txt:2
lent input_files/Hamlet.txt:1
cote input_files/Hamlet.txt:1
vent input_files/Hamlet.txt:1
fort input_files/Hamlet.txt:1
hern input_files/Hamlet.txt:1
wise input_files/Hamlet.txt:2
game input_files/Hamlet.txt:2
song input_files/Hamlet.txt:7
